idParroquia;nombreParroquia;idCanton
150754;SAN FRANCISCO DE BORJA (VIRGILIO DÁVILA);1507
150154;PANO;1501
150751;COSANGA;1507
220154;EL DORADO;2201
150950;CARLOS JULIO AROSEMENA TOLA, CABECERA CANTONAL;1509
170156;CONOCOTO;1701
150453;OYACACHI;1504
150153;CHONTAPUNTA;1501
060950;PENIPE, CAB CANTONAL;0609
160351;SAN JOSE;1603
160156;MONTALVO (ANDOAS);1601
170453;TOCACHI;1704
180155;HUACHI GRANDE;1801
170170;NAYÓN;1701
170169;NANEGALITO;1701
060253;GUASUNTOS;0602
170168;NANEGAL;1701
100352;GARCÍA MORENO (LLURIMAGUA);1003
170452;MALCHINGUI;1704
160165;VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA);1601
170357;UYUMBICHO;1703
060255;MULTITUD;0602
150354;SAN PABLO DE USHPAYACU;1503
170171;NONO;1701
170502;SAN PEDRO DE TABOADA;1705
120950;PALENQUE;1209
170178;PUÉLLARO;1701
230104;RÍO TOACHI;2301
150752;CUYUJA;1507
180801;CIUDAD NUEVA;1808
170256;SAN JOSÉ DE AYORA;1702
170354;EL CHAUPI;1703
050251;GUASAGANDA (CAB. EN GUASAGANDA CENTRO);0502
050752;ISINLIVI;0507
170161;GUALEA;1701
170552;RUMIPAMBA;1705
210251;EL REVENTADOR;2102
170154;CALACALÍ;1701
210351;PALMA ROJA;2103
180166;TOTORAS;1801
180802;PÍLLARO, CABECERA CANTONAL;1808
230151;ALLURIQUÍN;2301
170153;ATAHUALPA;1701
170358;PEDREGAL;1703
100651;CAHUASQUI;1006
140452;CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO);1404
170159;CHECA;1701
210254;PUERTO LIBRE;2102
050351;MORASPUNGO;0503
120504;GUAYACÁN;1205
090604;EMILIANO CAICEDO MARCOS;0906
210451;LIMONCOCHA;2104
150756;SUMACO;1507
090104;FEBRES CORDERO;0901
220153;ALEJANDRO LABACA;2201
190853;VALLADOLID;1908
080453;MALIMPIA;0804
050455;LA VICTORIA;0504
010553;CHICÁN (GUILLERMO ORTEGA);0105
